cfc,Q,2,
chh,p,-25,-25
chh,p,10,10
chh,p,44,44
chh,p,78,78
chh,p,112,112
chh,p,146,146
chh,p,178,178
chh,p,210,210
chh,p,242,242
chh,p,272,272
chh,p,300,300
chh,p,327,327
chh,p,353,353
chh,p,377,377
chh,p,399,399
chh,p,420,420
chh,p,438,438
chh,p,454,454
chh,p,467,467
chh,p,479,479
chh,p,488,488
chh,p,494,494
chh,p,498,498
chh,p,500,500
chh,p,499,499
chh,p,495,495
chh,p,489,489
chh,p,480,480
chh,p,469,469
chh,p,455,455
chh,p,439,439
chh,p,421,421
chh,p,400,400
chh,p,377,377
chh,p,352,352
chh,p,325,325
chh,p,297,297
chh,p,266,266
chh,p,235,235
chh,p,202,202
chh,p,167,167
chh,p,132,132
chh,p,96,96
chh,p,60,60
chh,p,23,23
chh,p,-15,-15
chh,p,-52,-52
chh,p,-89,-89
chh,p,-125,-125
chh,p,-161,-161
chh,p,-196,-196
chh,p,-230,-230
chh,p,-263,-263
chh,p,-294,-294
chh,p,-324,-324
chh,p,-351,-351
chh,p,-377,-377
chh,p,-401,-401
chh,p,-423,-423
chh,p,-442,-442
chh,p,-458,-458
chh,p,-472,-472
chh,p,-483,-483
chh,p,-492,-492
chh,p,-497,-497
chh,p,-500,-500
chh,p,-499,-499
chh,p,-496,-496
chh,p,-490,-490
chh,p,-481,-481
chh,p,-468,-468
chh,p,-453,-453
chh,p,-436,-436
chh,p,-415,-415
chh,p,-392,-392
chh,p,-367,-367
chh,p,-339,-339
chh,p,-310,-310
chh,p,-278,-278
chh,p,-244,-244
chh,p,-209,-209
chh,p,-173,-173
chh,p,-135,-135
chh,p,-97,-97
chh,p,-58,-58
chh,p,-18,-18
chh,p,22,22
chh,p,61,61
chh,p,101,101
chh,p,139,139
chh,p,177,177
chh,p,214,214
chh,p,250,250
chh,p,284,284
chh,p,316,316
chh,p,346,346
chh,p,374,374
chh,p,400,400
chh,p,423,423
chh,p,443,443
chh,p,460,460
chh,p,475,475
chh,p,486,486
chh,p,494,494
chh,p,499,499
chh,p,500,500
chh,p,498,498
chh,p,493,493
chh,p,484,484
chh,p,472,472
chh,p,457,457
chh,p,439,439
chh,p,417,417
chh,p,393,393
chh,p,366,366
chh,p,337,337
chh,p,305,305
chh,p,271,271
chh,p,235,235
chh,p,197,197
chh,p,158,158
chh,p,118,118
chh,p,76,76
chh,p,35,35
chh,p,-8,-8
chh,p,-50,-50
chh,p,-91,-91
chh,p,-133,-133
chh,p,-173,-173
chh,p,-212,-212
chh,p,-250,-250
chh,p,-286,-286
chh,p,-320,-320
chh,p,-351,-351
chh,p,-380,-380
chh,p,-407,-407
chh,p,-430,-430
chh,p,-450,-450
chh,p,-467,-467
chh,p,-481,-481
chh,p,-491,-491
chh,p,-497,-497
chh,p,-500,-500
chh,p,-499,-499
chh,p,-494,-494
chh,p,-485,-485
chh,p,-473,-473
chh,p,-457,-457
chh,p,-438,-438
chh,p,-415,-415
chh,p,-389,-389
chh,p,-360,-360
chh,p,-328,-328
chh,p,-294,-294
chh,p,-257,-257
chh,p,-218,-218
chh,p,-178,-178
chh,p,-136,-136
chh,p,-93,-93
chh,p,-49,-49
chh,p,-5,-5
chh,p,40,40
chh,p,84,84
chh,p,127,127
chh,p,170,170
chh,p,211,211
chh,p,251,251
chh,p,289,289
chh,p,324,324
chh,p,357,357
chh,p,387,387
chh,p,414,414
chh,p,438,438
chh,p,458,458
chh,p,474,474
chh,p,486,486
chh,p,495,495
chh,p,499,499
chh,p,500,500
chh,p,496,496
chh,p,488,488
chh,p,476,476
chh,p,460,460
chh,p,440,440
chh,p,416,416
chh,p,389,389
chh,p,358,358
chh,p,325,325
chh,p,288,288
chh,p,249,249
chh,p,208,208
chh,p,165,165
chh,p,121,121
chh,p,75,75
chh,p,29,29
chh,p,-18,-18
chh,p,-64,-64
chh,p,-110,-110
chh,p,-155,-155
chh,p,-199,-199
chh,p,-241,-241
chh,p,-281,-281
chh,p,-319,-319
chh,p,-354,-354
chh,p,-385,-385
chh,p,-414,-414
chh,p,-438,-438
chh,p,-459,-459
chh,p,-476,-476
chh,p,-488,-488
chh,p,-496,-496
chh,p,-500,-500
chh,p,-499,-499
chh,p,-493,-493
chh,p,-483,-483
chh,p,-469,-469
