cf,Q,2
chh,p,263.549094493377,263.549094493377
chh,p,268.576200293952,268.576200293952
chh,p,273.618022753259,273.618022753259
chh,p,278.67260917058,278.67260917058
chh,p,283.737953762685,283.737953762685
chh,p,288.811997195004,288.811997195004
chh,p,293.892626146237,293.892626146237
chh,p,298.977672908145,298.977672908145
chh,p,304.064915022338,304.064915022338
chh,p,309.152074955857,309.152074955857
chh,p,314.23681981741,314.23681981741
chh,p,319.31676111615,319.31676111615
chh,p,324.389454564904,324.389454564904
chh,p,329.45239992979,329.45239992979
chh,p,334.50304092819,334.50304092819
chh,p,339.538765177072,339.538765177072
chh,p,344.556904193674,344.556904193674
chh,p,349.554733450594,349.554733450594
chh,p,354.529472487329,354.529472487329
chh,p,359.478285080356,359.478285080356
chh,p,364.398279473839,364.398279473839
chh,p,369.286508673071,369.286508673071
chh,p,374.139970802765,374.139970802765
chh,p,378.955609532336,378.955609532336
chh,p,383.730314570297,383.730314570297
chh,p,388.460922229923,388.460922229923
chh,p,393.144216068309,393.144216068309
chh,p,397.776927600992,397.776927600992
chh,p,402.35573709424,402.35573709424
chh,p,406.877274437177,406.877274437177
chh,p,411.338120095838,411.338120095838
chh,p,415.734806151273,415.734806151273
chh,p,420.063817423786,420.063817423786
chh,p,424.321592685391,424.321592685391
chh,p,428.504525962503,428.504525962503
chh,p,432.608967930905,432.608967930905
chh,p,436.63122740496,436.63122740496
chh,p,440.567572923012,440.567572923012
chh,p,444.414234430878,444.414234430878
chh,p,448.167405065292,448.167405065292
chh,p,451.823243039097,451.823243039097
chh,p,455.377873629928,455.377873629928
chh,p,458.827391274092,458.827391274092
chh,p,462.167861767231,462.167861767231
chh,p,465.395324573343,465.395324573343
chh,p,468.505795243611,468.505795243611
chh,p,471.495267946432,471.495267946432
chh,p,474.359718109936,474.359718109936
chh,p,477.095105178201,477.095105178201
chh,p,479.697375482254,479.697375482254
chh,p,482.16246522686,482.16246522686
chh,p,484.486303593962,484.486303593962
chh,p,486.664815963535,486.664815963535
chh,p,488.693927252495,488.693927252495
chh,p,490.569565372128,490.569565372128
chh,p,492.287664804436,492.287664804436
chh,p,493.844170297569,493.844170297569
chh,p,495.235040680426,495.235040680426
chh,p,496.456252796304,496.456252796304
chh,p,497.503805555326,497.503805555326
chh,p,498.373724105193,498.373724105193
chh,p,499.062064119637,499.062064119637
chh,p,499.564916203747,499.564916203747
chh,p,499.878410415147,499.878410415147
chh,p,499.998720899815,499.998720899815
chh,p,499.922070641101,499.922070641101
chh,p,499.644736320295,499.644736320295
chh,p,499.163053286869,499.163053286869
